,Hashtag,Number of Posts,Date posted,text,url,likes,ID
453,ford,21566028,2010-11-16,ford sunset sweden likeforfollowers highcoast hemmamanab,https://instagram.fyhu1-1.fna.fbcdn.net/vp/bf7ecafb5268297fcc5b3ff9241a49a7/5D544B41/t51.2885-15/e15/11117112_488577047956261_1099714376_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,5,4495085
118,ford,21566028,2012-02-12,ford cars car ride drive driver vehicle vehicles street road freeway highway exotic exoticcars speed race racing wheel wheels rims engine horsepower,https://instagram.fyhu1-1.fna.fbcdn.net/vp/e6317189c429e478b2193483b1846e51/5D6A68CE/t51.2885-15/e15/11191104_811316882283695_220795931_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,76,124862345167458745
172,ford,21566028,2012-09-23,heres abetted view of my detailing stang mustang ford,https://instagram.fyhu1-1.fna.fbcdn.net/vp/d9a385ad7682cd1ed7c6f3fd6c2372da/5D59CCB2/t51.2885-15/e15/11123828_1011978012147525_348154270_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,1,287034596366877722
433,ford,21566028,2012-10-10,a ford with the el logo parked in front of el taqueria thats kinda  ford elrayo classic autos classiccar classicford mexican mexicanrestaurant salsa tacos yellow mustard portland portlandme,https://instagram.fyhu1-1.fna.fbcdn.net/vp/6ce6f2ea97074e90225cd4f047b9b974/5D705274/t51.2885-15/e15/11230420_416289758545821_695580592_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,99,299476710813908592
2023,fordmustang,2048697,2012-11-04,that new lowered stance    mustang ford gt s cars car v bmw camaro shelby ferrari mercedes dodge mustangfanclub nissan corvette gtr fordperformance bhfyp,https://instagram.fyhu1-1.fna.fbcdn.net/vp/197dcd1696bce88025174c1a3169f026/5D6CA2FF/t51.2885-15/e15/11205786_649832235149092_387194983_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,14,317083738202068363
2020,fordmustang,2048697,2012-11-09,they said id never make it big    mustang ford gt s cars car v bmw camaro shelby ferrari mercedes dodge mustangfanclub nissan corvette gtr fordperformance bhfyp,https://instagram.fyhu1-1.fna.fbcdn.net/vp/3d0408d2ebd5f0cd8b5500c03d63c1bc/5D5E1F47/t51.2885-15/e15/11189392_950033881681905_574956800_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,17,321226148796585244
177,ford,21566028,2012-11-24,mustang ford,https://instagram.fyhu1-1.fna.fbcdn.net/vp/63bcc42feb34711dc83506dfe0206f8f/5D534B38/t51.2885-15/e15/10732051_1397478073911213_2045610954_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,3,332008073922217970
1538,fordmustang,2048697,2012-12-22,cobra mustang cars car ride drive driver vehicle vehicles street road freeway highway exotic exoticcars speed race racing rims engine horsepower ford,https://instagram.fyhu1-1.fna.fbcdn.net/vp/5cfec3868ed2006625e5903894b626c1/5D71229F/t51.2885-15/e15/11259257_1446318968999209_1003738620_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,99,352418462616211607
120,ford,21566028,2012-12-22,cobra mustang cars car ride drive driver vehicle vehicles street road freeway highway exotic exoticcars speed race racing rims engine horsepower ford,https://instagram.fyhu1-1.fna.fbcdn.net/vp/5cfec3868ed2006625e5903894b626c1/5D71229F/t51.2885-15/e15/11259257_1446318968999209_1003738620_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,99,352418462616211607
493,ford,21566028,2013-01-09,pops whip ford,https://instagram.fyhu1-1.fna.fbcdn.net/vp/31b7bf286111e2fd0632f35897f27946/5D73EC8C/t51.2885-15/e15/11232650_724627790982057_1278755732_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,11,365522291681989230
1968,fordmustang,2048697,2013-02-21,car,https://instagram.fyhu1-1.fna.fbcdn.net/vp/d3251d23ed7a4687b2a0737fdd1553e2/5D57EEE8/t51.2885-15/e15/11254717_376293349222831_1020329301_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,1,396284609105150546
1829,fordmustang,2048697,2013-03-14,hpi rc hobbies hobby carreras racing drag ford fordperformance ford mustang custom cars,https://instagram.fyhu1-1.fna.fbcdn.net/vp/76c53991eb6bd7bd0e2b4d3806dca46b/5D571CBF/t51.2885-15/e15/11282028_476613709172150_207481_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,10,411701904527930309
1897,fordmustang,2048697,2013-04-26,another lp for the car cover collection picked it up at a johnnymathis those were the days mustang anautoenthusiastslife carcoverrecordcollection coolcars framedvinyl ilovecars mystyle officedecor vintagecars vintagevinylrecords vinyl vinylcollector,https://instagram.fyhu1-1.fna.fbcdn.net/vp/4641de6348747bf88345fe11ee286683/5D72DA1F/t51.2885-15/e15/11325070_1092516064109854_1338216534_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,14,442924487463754247
722,ford,21566028,2013-05-09,s machine style car auto ford roma italia instamood,https://instagram.fyhu1-1.fna.fbcdn.net/vp/5ce01686f47e34e4b3a031caad9b8152/5D62FD91/t51.2885-15/e15/11311353_1446892902290373_1605359351_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,9,451763080136391093
176,ford,21566028,2013-06-30,i finished detailing my pony this morning clean mustang ford,https://instagram.fyhu1-1.fna.fbcdn.net/vp/194ba1f14b38764bf4188d66174fddd2/5D52E165/t51.2885-15/e15/11282796_849385665116305_332134499_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,4,489901301194425799
171,ford,21566028,2013-08-02,mustang ford model,https://instagram.fyhu1-1.fna.fbcdn.net/vp/5cf29104bb59d5c7cbd17d7c88eacc06/5D58E694/t51.2885-15/e15/11385631_1598579773731332_1962798637_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,4,513990137583109353
1960,fordmustang,2048697,2013-09-15,just an amazing paint job on this shelby mustang gt ford s fordmustang musclecar v cobra cars mustangfanclub car mustangs roush fordperformance bmw camaro dodge muscle coyote,https://instagram.fyhu1-1.fna.fbcdn.net/vp/42615abb635805417eec1173b5cb7fa6/5D74014E/t51.2885-15/e15/1515991_670289923115991_87228410_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,12,545812734474469798
2207,fordmustang,2048697,2013-09-29,somewhere near new mustang wastingaway ford musclecar,https://instagram.fyhu1-1.fna.fbcdn.net/vp/dd7894707c6beb3c39c913effba119a8/5D6E8544/t51.2885-15/e15/11374512_1597693247135487_647578478_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,10,555566937769314037
586,ford,21566028,2013-12-31,part of me really misses that blue oval on this little pickup part of me really digs these pinstripes,https://instagram.fyhu1-1.fna.fbcdn.net/vp/f4830817ec21637a6c39bdaae12e43c3/5D5ECABC/t51.2885-15/e15/1171794_575816622504937_1274851150_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,54,623079824217520215
180,ford,21566028,2014-02-10,i take a drive in my car i see the sun disappear oh little stranger bring my baby back to me oh little stranger bring my baby back home iseethesundisappear oh little stranger bring my baby back home isawthesundisappear isawthesundisappear windows down and my hair in the breeze mustang ford,https://instagram.fyhu1-1.fna.fbcdn.net/vp/73bb6555215cc86ea4a685f9e6da52b7/5D5291AA/t51.2885-15/e15/1661184_1422266751350739_2095788336_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,1,653170297489458721
648,ford,21566028,2014-05-23,ford villadeleiva,https://instagram.fyhu1-1.fna.fbcdn.net/vp/e7450baf23ed81a38d0d722fae5a1bb1/5D6FE223/t51.2885-15/e15/10375604_1413237348957334_1071415070_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,3,726467782467585994
328,ford,21566028,2014-06-02,my new ride  f inchlift tires vturbodiesel x beast ford,https://instagram.fyhu1-1.fna.fbcdn.net/vp/d751e1ddd4f31b6990bd4b1fbf876549/5D6C9562/t51.2885-15/e15/10412964_1428419214094331_1795727512_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,16,734276311554274616
1963,fordmustang,2048697,2014-06-15,at the ford mustang meeting  mustang kln mustang mustangmeeting ford car v sunnyday cologne throwback beautiful shiny ponycar dreamcar great awesome dailyinsta,https://instagram.fyhu1-1.fna.fbcdn.net/vp/846230f9b44abfe72280097df9d55520/5D52727B/t51.2885-15/e15/10375589_1445793845671636_1886755684_n.jpg?_nc_ht=instagram.fyhu1-1.fna.fbcdn.net,12,743616643883317405
